Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,1,4,3.5,0,0,0,0,0,0,1.5,3.5,23.5
1983,0,2.3,22.5,17.5,0,0,0,0,0,0,30.1,11
1984,6.4,9.1,19.2,12.7,0,0,0,0,4.2,11,0,4.8
1985,16.3,14.6,20.4,0.9,0,0,0,0,11,6,22.8,16
1986,2,17.8,3,13.5,0,0,0,0,0,7,20.3,13
1987,21.4,23.7,23,16.3,0,0,0,0,0,0,13.5,27.5
1988,6.5,16.7,24.9,4.7,1,0,0,0,0,0,5.7,31.5
1989,14.2,14.8,10.5,15.8,0,0,0,0,0.5,8.9,1.8,21.6
1990,13,13.3,25,7.6,0.1,0,0,0,0,6.1,17.1,12.7
1991,17,2.8,2,19.1,0.4,0,0,0,0,13.6,28.9,0.2
1992,10.9,0,19.7,0,0,0,0,0,0,0,44.7,18.8
1993,5.8,9.3,11.9,4.7,0,0.1,0,0,1.4,10.5,27,9
1994,11.5,15.4,14.9,22.8,0,0,0,0,0.4,0,23.7,10.3
1995,12,16.3,16.4,24.1,0.8,0,0,0,8.6,3.1,17.8,3.4
1996,29.1,5.9,17.7,7.6,0,0,0,0,6.1,0.1,16.6,6.1
1997,19,28.8,14.1,38.6,0,0,0,0,0,30.1,18.2,9.9
1998,10.4,1.7,42.6,19.4,0,0,0,0,0,0,9.5,17.8
1999,9.7,1.2,6.5,34.4,T,0,0,0,1.6,6.1,10.5,9.7
2000,3.8,5.4,26.6,8.9,0,0,0,0,6.5,0.9,10.9,8.5
2001,10.3,13.1,16.6,10.5,6.5,0,0,0,T,0.3,7.3,4.7
2002,18.5,8.3,22.6,0.1,1.6,0,0,0,0,16.1,13,0.5
2003,0.5,22.8,34.7,6.2,5.2,0,0,0,0,0.4,7.5,9.9
2004,12,18,7.9,14.9, ,0,0,0,0,0,17.6,6.7
2005,15.9,3.3,11.2,21.8,0.2,0,0,0,0,T,1.9,6.3
2006,5.5,11.4,23.3,2.9,0.1,T,0,0,0,15.2,12,45.5
2007,27.5,15.3,4.5,2.2,T,0,0,0,0,0.1,5.9,30
2008,10.3,10.4,17.6,7.9,0.7,0,0,0,0,0.2,1.3,20.9
2009,13,3.9,21.4,20.4,0,0,0,0,0,30.1,8.9,27.8
2010,4.6,22.9,28.7,5.8,6.6,0,0,0,0,T,2,9.5
2011,18.2,13.2,0.7,3.5,0.2,0,0,0,0,11.5,8.6,33.1
2012,7.8,32.1,T,1.6,T,0,0,0,0,7.9,0.8,11.7
2013,3.7,18.5,22.8,47.6,12.3,0,0,0,0,5.4,6.3,9
2014,27.2,11.7,11.2,12.2,6.8,0,0,0,0.5,0,16.9,19.8
2015,6,54.6,8,7.4,3.9,T,0,0,0,0,11.5,17.4
2016,4.1,21.8,32.5,21.4,1,0,0,0,0,0,4.4,13
2017,18.7,9.9,0,19.4,6.1,0,0,0,0,8,4.1,10.2
2018,8.8,18.5,6.8,6,0,0,0,0,0,10.1,16.4,5.7
2019,14.5,14.6,16.2,10.2,7.4,0,0,0,0,26.4,29.5,3.4
2020,0,39.1,16.3,37.3,0,0,0,0,5.7,12.5,7.5,5.8
2021,6.2,19.6,27.8,18,0.2,0,0,0,0,0,0.7,5.1
